Country Name,"Time","GDP per capita (current US$)","Population ages 0-14 (% of total)","Population ages 15-64 (% of total)","Population ages 65 and above (% of total)","Population, total"
Canada,"1960","2294.56881421577","33.7327865315498","58.5953211170641","7.67189235138615","17909009"
Canada,"1961","2231.2938237478","33.8566211639949","58.4697617316034","7.67361710440173","18271000"
Canada,"1962","2255.23004413036","33.8598826784814","58.4650162224259","7.67510109909275","18614000"
Canada,"1963","2354.83912197975","33.7541539950035","58.5654515461292","7.68039445886727","18964000"
Canada,"1964","2529.5181790541","33.5572737187086","58.7487969877638","7.69392929352754","19325000"
Canada,"1965","2739.58584928189","33.2715076386985","59.0093765782461","7.71911578305535","19678000"
Canada,"1966","3010.70590757947","32.8326532111212","59.4272163782596","7.74013041061911","20048000"
Canada,"1967","3173.07619352225","32.2532908571077","59.9665856525276","7.78012349036475","20412000"
Canada,"1968","3411.06015434457","31.5756025438218","60.5868711995271","7.83752625665105","20744000"
Canada,"1969","3703.99040525529","30.8565254261559","61.2370021320837","7.90647244176031","21028000"
Canada,"1970","4121.93280924889","30.1301074666965","61.8868521213478","7.98304041195568","21324000"
Canada,"1971","4586.25584803149","29.2735431639472","62.6514742451448","8.07498259090795","21645535"
Canada,"1972","5141.61672495185","28.5013710144857","63.3417137875272","8.15691519798709","21993631"
Canada,"1973","5870.60056368405","27.7649832289433","63.9937205919548","8.24129617910186","22369408"
Canada,"1974","7043.47435083838","26.9941706868323","64.6621001581193","8.34372915504841","22774087"
Canada,"1975","7489.94053115827","26.16889209787","65.3607128490006","8.47039505312933","23209000"
Canada,"1976","8783.72159204111","25.5070320145871","65.8542385347403","8.63872945067265","23518000"
Canada,"1977","8892.76167988947","24.7645602827304","66.4081906605101","8.82724905675949","23796000"
Canada,"1978","9096.05872232533","24.0055698391178","66.9690428168463","9.02538734403592","24036000"
Canada,"1979","10012.4439669407","23.3240691554158","67.4597942401048","9.21613660447941","24277000"
Canada,"1980","11135.4379854841","22.7642366625132","67.8436850571558","9.39207828033102","24593000"
Canada,"1981","12297.7856877506","22.3168557675518","68.1233218368877","9.5598223955605","24900000"
Canada,"1982","12439.7478409307","21.9693645660292","68.3165197035467","9.71411573042407","25202000"
Canada,"1983","13377.8956545368","21.7068162523163","68.4256296607685","9.86755408691512","25456000"
Canada,"1984","13826.6499923594","21.4876334886774","68.4746888995917","10.0376776117309","25702000"
Canada,"1985","14060.4617782265","21.2902552145562","68.4773658857823","10.2323788996615","25942000"
Canada,"1986","14403.8287021822","21.1537093858672","68.4358693301512","10.4104212839815","26204000"
Canada,"1987","16245.4516791506","21.022458723032","68.3691281370445","10.6084131399235","26550000"
Canada,"1988","18864.2629180983","20.8999609049893","68.2814904664491","10.8185486285616","26895000"
Canada,"1989","20638.2900486958","20.7939386552504","68.1786214702777","11.0274398744719","27379000"
Canada,"1990","21371.2910981421","20.7045473935054","68.0685326384802","11.2269199680144","27791000"
Canada,"1991","21664.598643531","20.6656811630085","67.9440269047353","11.3902919322561","28171682"
Canada,"1992","20771.2503529737","20.6463547110704","67.8169551831122","11.5366901058174","28519597"
Canada,"1993","20017.4298480977","20.6151364525567","67.7130068452125","11.6718567022307","28833410"
Canada,"1994","19859.2039778368","20.5348136017665","67.6615099927155","11.803676405518","29111906"
Canada,"1995","20577.4893858895","20.3889468611011","67.6737005348696","11.9373526040293","29354000"
Canada,"1996","21183.2200827089","20.2677865855752","67.6748047849221","12.0574086295027","29671900"
Canada,"1997","21770.1340814172","20.0497758836537","67.7660294441194","12.1841946722269","29987200"
Canada,"1998","20887.8394667666","19.7642618971385","67.9225724816478","12.3131656212137","30247900"
Canada,"1999","22167.2258498882","19.4610057995643","68.1035926898087","12.435401510627","30499200"
Canada,"2000","24124.169174631","19.1681115011014","68.2841581513693","12.5477303475293","30769700"
Canada,"2001","23691.5947188738","18.8397960411139","68.5069095422257","12.6532944166603","31081900"
Canada,"2002","24167.8043060561","18.5485614364248","68.7027135658348","12.7487249977404","31362000"
Canada,"2003","28172.1488309084","18.271602890856","68.8814771896451","12.8469199194989","31676000"
Canada,"2004","31979.8719510723","17.9802724319019","69.0560282408535","12.9636993272446","31995000"
Canada,"2005","36189.5883840265","17.6735433627871","69.2184942411154","13.1079623960975","32312000"
Canada,"2006","40386.6994835116","17.3986358650383","69.347513553221","13.2538505817407","32570505"
Canada,"2007","44544.5268004039","17.1302828564737","69.4466861367204","13.4230310068059","32887928"
Canada,"2008","46596.3359912609","16.8814938206271","69.4958100012781","13.6226961780949","33245773"
Canada,"2009","40773.4543637445","16.6620691608884","69.4743899666926","13.863540872419","33628571"
Canada,"2010","47445.7619347846","16.4722982562387","69.3748285223778","14.1528732213835","34005274"
Canada,"2011","52083.8262233942","16.3914219473938","69.1502020078026","14.4583760448036","34342780"
Canada,"2012","52495.2884719937","16.2701830676367","68.9030083642806","14.8268085680827","34751476"
Canada,"2013","52266.1756761394","16.1408947423337","68.6122880862813","15.2468171713849","35155499"
Canada,"2014","50185.4814970346","16.0369006305055","68.2721516335672","15.6909477359273","35543658"
Canada,"2015","43248.529909341","15.9720580400734","67.8921634982731","16.1357784616535","35851774"

